Site,Community,Acer negundo,Acer sp.,Achillea ochroleuca,Achillea pannonica,Acinos arvensis,Ailanthus altissima,Ajuga reptans,Alkanna tinctoria,Alliaria petiolata,Allium oleraceum,Allium paniculatum,Allium scorodoprasum,Allium sphaerocephalon,Alyssum montanum,Alyssum tortuosum,Ambrosia artemisiifolia,Amorpha fruticosa,Anchusa officinalis,Anthemis ruthenica,Anthriscus cerefolium,Arabidopsis thaliana,Arabis hirsuta,Arabis recta,Arenaria serpyllifolia,Armeniaca vulgaris,Arrhenatherum elatius,Artemisia campestris,Asclepias syriaca,Asparagus officinalis,Asperula cynanchica,Aster linosyris,Astragalus austriacus,Astragalus dasyanthus+exscapus,Astragalus glycyphyllos,Astragalus onobrychis,Astragalus varius,Ballota nigra,Berberis vulgaris,Bothriochloa ischaemum,Botrychium lunaria,Brachypodium sylvaticum,Briza media,Bromus arvensis,Bromus erectus,Bromus inermis,Bromus squarrosus,Bromus sterilis,Bromus tectorum,Buglossoides arvensis,Calamagrostis epigeios,Camelina microcarpa,Cannabis sativa,Capsella bursa-pastoris,Carduus nutans,Carex caryophyllea,Carex flacca,Carex hirta,Carex humilis,Carex liparicarpos,Carex praecox,Carex stenophylla,Carlina vulgaris,Celtis occidentalis,Cenchrus incertus,Centaurea arenaria,Cephalanthera rubra,Cerastium semidecandrum,Chamaecytisus austriaca,Chamaecytisus hirsutus,Chamaecytisus ratisbonensis,Chenopodium album,Chenopodium hybridum,Chondrilla juncea,Chrysopogon gryllus,Clinopodium vulgare,Colchicum arenarium,Consolida regalis,Convallaria majalis,Convolvulus arvensis,Conyza canadensis,Corispermum canescens,Corispermum nitidum,Cornus sanguinea,Crataegus monogyna,Crepis rhoeadifolia,Crepis tectorum,Cruciata pedemontana,Cynodon dactylon,Cynoglossum officinale,Dactylis glomerata,Daucus carota,Descurainia sophia,Dianthus pontederae,Dianthus serotinus,Draba nemorosa,Echinops ruthenicus,Echium vulgare,Elaeagnus angustifolia,Elymus hispidus,Elymus repens,Ephedra distachya,Epipactis atrorubens,Epipactis sp.,Equisetum ramosissimum,Erigeron acris,Erigeron annuus,Erophila verna,Eryngium campestre,Euonymus europaeus,Euphorbia cyparissias,Euphorbia seguieriana,Falcaria vulgaris,Fallopia convolvulus,Festuca pseudovina,Festuca rupicola+valesiaca,Festuca vaginata,Festuca wagneri,Filipendula vulgaris,Fragaria viridis,Fraxinus pennsylvanica,Fraxinus sp.,Fumana procumbens,Fumaria officinalis,Gagea pratensis,Gagea pusilla,Galium aparine,Galium verum,Geranium columbinum,Geranium pusillum,Geranium robertianum,Geranium sanguineum,Geum urbanum,Gleditsia triacanthos,Gypsophila arenaria,Gypsophila paniculata,Hedera helix,Helianthemum ovatum,Hieracium bauhini,Hieracium echioides,Hieracium macranthum,Hieracium pilosella,Hieracium sp.,Hieracium umbellatum,Holosteum umbellatum,Hylotelephium telephium,Hypericum perforatum,Hypochoeris maculata,Impatiens parviflora,Iris arenaria,Juglans regia,Juniperus communis,Juniperus virginiana,Jurinea mollis,Knautia arvensis,Kochia laniflora,Koeleria cristata,Koeleria glauca,Lactuca serriola,Lamium amplexicaule,Lamium purpureum,Lathyrus hirsutus,Lathyrus sp.,Leontodon hispidus,Ligustrum vulgare,Linaria genistifolia,Linum austriacum,Linum hirsutum,Linum perenne,Lithospermum officinale,Lotus corniculatus,Luzula campestris,Marrubium peregrinum,Medicago falcata,Medicago lupulina,Medicago minima,Melica transsilvanica,Melilotus albus,Melilotus officinalis,Minuartia glaucina,Minuartia glomerata,Molinia caerulea,Morus alba,Muscari comosum,Muscari neglectum,Muscari tenuiflorum,Myosotis ramosissima,Myosotis stricta,Nepeta cataria,Odontites lutea,Oenothera biennis,Onobrychis arenaria,Ononis arvensis,Ononis spinosa,Onosma arenaria,Ornithogalum umbellatum,Padus serotina,Parthenocissus quinquefolia,Persica vulgaris,Peucedanum alsaticum,Peucedanum arenarium,Phleum phleoides,Phragmites australis,Picris hieracioides,Pimpinella saxifraga,Pinus nigra,Pinus sylvestris,Plantago indica,Plantago lanceolata,Poa angustifolia,Poa bulbosa,Poa compressa,Poa trivialis,Polygala comosa,Polygonatum latifolium,Polygonatum odoratum,Polygonum arenarium,Populus alba + P. x canescens,Populus nigra,Potentilla arenaria,Prunus sp.,Prunus spinosa,Pseudolysimachion spicatum,Pyrus pyraster,Quercus cerris,Quercus pubescens,Quercus robur,Ranunculus polyanthemos,Rhamnus catharticus,Rhinanthus serotinus,Ribes aureum,Robinia pseudoacacia,Rosa canina agg.,Rosa rubiginosa,Rubus caesius,Rumex acetosella,Salix rosmarinifolia,Salsola kali,Salvia pratensis,Sambucus nigra,Saponaria officinalis,Saxifraga tridactylites,Scabiosa ochroleuca,Scirpoides holoschoenus,Secale sylvestre,Securigera varia,Sedum urvillei,Senecio vernalis,Seseli annuum,Setaria viridis,Silene alba,Silene conica,Silene otites,Silene sp.,Silene vulgaris,Sisymbrium orientale,Solanum dulcamara,Solidago virgaurea,Stachys recta,Stellaria media,Stipa borysthenica+capillata,Syrenia cana,Taraxacum laevigatum agg.,Taraxacum officinale agg.,Tephroseris integrifolia,Teucrium chamaedrys,Thesium ramosum,Thlaspi perfoliatum,Thymus pannonicus,Torilis arvensis,Torilis japonica,Tragopogon dubius,Tragopogon floccosus,Tragus racemosus,Tribulus terrestris,Trifolium campestre,Trifolium repens,Trinia ramosissima,Ulmus minor,Urtica dioica,Verbascum lychnitis,Veronica arvensis,Veronica austriaca,Veronica chamaedrys,Veronica hederifolia,Veronica praecox,Veronica prostrata,Veronica triphyllos,Vicia angustifolia,Vicia hirsuta,Vicia villosa,Vinca herbacea,Vincetoxicum hirundinaria,Viola arvensis,Viola hirta,Viola rupestris,Vitis vinifera
Ne,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2.5,0,4,0,0,0,0,0,0,0,0,0.1,0.5,0,0,0.1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0.1,0,0,0.5,0,0,0,18,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5,40.1,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0.1,0.5,0,0,0,0,0.5,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0
Ne,SE,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.1,0,0.5,0,0,0,0,0,0,0,0,12,0,0,0,0.1,0,0,0,0,0,0,0.1,1,0,1,0,0,0,0.5,0,0,1.5,0,0,0,0.6,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,60.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1,0.1,0,0,0,0.1,0,0,0.1,0,0,0,0.1,15,0,0.5,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Ke,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0.1,0,0,0.1,5,0,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,15,0,0,0,30.1,0.1,0,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,15,0,2,0,0,6,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0.1,50.6,0,0.1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,1,0,0,0
Ke,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,1,0,0,0,0,0,0.5,0,1,0,0,0,0,0,0,1.5,0,0,0,8,0,0,0,15,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,2,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1,56,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.5,10,1.5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0
Ke,SE,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,2.5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,2,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0,0,0,0,0,0,0.1,0,0,0
Ke,SE,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,50,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,3,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,40.1,0,0,0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.1,0,0,1,0,0,0,0,0,0,0,0,0,0.5,1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
Ke,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0,0,0,0,0,0,0,3,7,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.5,0,0,0,0.1,0,0,0,0,0,0,0,0,1,0,0,0,10,0,0.1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.5,0,0,0,0,0,0.5,40.5,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,6,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0,0,0,0,0,0,1,0,0,0
Bod,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0.1,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bod,SE,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.1,0,0.5,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,10.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0.1,44,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0.5,8,0,0,0.1,0,0,0,1,0,0,0,0,0,0,0,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bod,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,10,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,5,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,5,0,0,0,0,0,0.1,35.1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Bod,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.5,0,2,0,0,0,0,0,0,0,0,0,0,0.1,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,2.1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0.1,0,0.1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5,0,0,0,0,0,0.1,31.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,5,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.5,0,0,0
Bod,SE,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,30,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.1,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,66,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.5,0,0,0,0,1,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0.1,0,0,0
Cs,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0.5,0.1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0.1,0,0,0.1,0,0,12,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,68,0,0,0,0,0,0,0,0.1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0.1,0,0,5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0
Cs,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0.1,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,1,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,71,0,0.1,0,0.1,2,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.1,0,0.5,15,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cs,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0.1,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,25.2,0,0,0,0,0,0.1,0,0,0,0,0,0,1.1,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0,0,0,0.1,0,61.5,0,0.5,0,1,0.5,0.1,0,0.5,0.5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,10,0,0.5,0,1,10,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0
Cs,SE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0.1,0.5,0,0,0,0,0,0,0,2,0,0,0,0.5,0,0,0,0,1.5,0.1,0,0,0,0,0,25,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,25.1,0,0,0,0,0,0,0,0.5,0,0,0.1,0,0,5,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0.1,0,0,0,0.1,0,0,0
Cs,SE,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1,0,0.1,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.1,0,0,0,0,0,1.5,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0.1,0,0,0,1,0,0,0,0,0,0.1,0,85,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.1,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
